156		AI9WYG457WDW2		13		0		0		0,1,2		s2_c01_v01_e13		94.8366666667		Spread sauce around top of crust====Spread sauce around====put that on there and you
157		A3RGYT0JTEHAOK		14		1		1		1,0		s2_c01_v01_e14		254.515		can add basil at the end====add Basil at the end
158		AI9WYG457WDW2		14		noop		noop		0,1		s2_c01_v01_e14		254.515		can add basil at the end====add Basil at the end
159		A1KB3HD0R4QRVZ		14		0		0		0,1		s2_c01_v01_e14		254.515		can add basil at the end====add Basil at the end
160		A1KB3HD0R4QRVZ		15		1		1		1,0,2		s2_c01_v01_e15		203.283333333		You can make pizza square if you want====Add basil on top of cheese====Add basil leaves on top
161		A1PYMROZ75S4FW		15		1		1		2,0,1		s2_c01_v01_e15		203.283333333		You can make pizza square if you want====Add basil on top of cheese====Add basil leaves on top
162		A2MV2H042RJ8TY		15		1		1		1,0,2		s2_c01_v01_e15		203.283333333		You can make pizza square if you want====Add basil on top of cheese====Add basil leaves on top
163		A1KB3HD0R4QRVZ		16		1		1		0,1,2		s2_c01_v02_e05		121.246666667		now that the dough is well====Now that the dough is well spread out it is time for the sauce.====add a couple of sauce
164		A2MV2H042RJ8TY		16		2		2		0,1,2		s2_c01_v02_e05		121.246666667		now that the dough is well====Now that the dough is well spread out it is time for the sauce.====add a couple of sauce
165		AWTJ1X4WZQ7H6		16		1		1		2,0,1		s2_c01_v02_e05		121.246666667		now that the dough is well====Now that the dough is well spread out it is time for the sauce.====add a couple of sauce
166		AHZK68L2UCA70		17		1		1		0,1		s2_c01_v02_e06		80.64		Add olive oil====Add some olive oil to the puree
167		A2MV2H042RJ8TY		17		0		0		0,1		s2_c01_v02_e06		80.64		Add olive oil====Add some olive oil to the puree
168		A2BWVEKQEI0AGT		17		1		1		1,0		s2_c01_v02_e06		80.64		Add olive oil====Add some olive oil to the puree
169		A2MV2H042RJ8TY		18		1		1		1,0		s2_c01_v02_e07		50.005		some basil====some basil leaves
170		A1KB3HD0R4QRVZ		18		1		1		1,0		s2_c01_v02_e07		50.005		some basil====some basil leaves
171		A1U95D7R56OJ2E		18		@		extra virgin olive oil		0,1		s2_c01_v02_e07		50.005		some basil====some basil leaves
172		A2MV2H042RJ8TY		19		0		0		1,0		s2_c01_v02_e08		51.86		and some extra virgin====3 1/2 cups of tomato puree
173		A2077PVS1UN41Y		19		0		0		1,0		s2_c01_v02_e08		51.86		and some extra virgin====3 1/2 cups of tomato puree
174		AI9WYG457WDW2		19		1		1		1,0		s2_c01_v02_e08		51.86		and some extra virgin====3 1/2 cups of tomato puree
175		A1KB3HD0R4QRVZ		20		0		0		0,1		s2_c01_v02_e09		54.75		salt and a pan that====1 1/2 lbs Mozarella cheese
176		A2MV2H042RJ8TY		20		1		1		0,1		s2_c01_v02_e09		54.75		salt and a pan that====1 1/2 lbs Mozarella cheese
177		ADDUWZ06KEK4T		20		1		1		1,0		s2_c01_v02_e09		54.75		salt and a pan that====1 1/2 lbs Mozarella cheese
178		A3RGYT0JTEHAOK		21		1		1		0,1		s2_c01_v02_e10		96.675		Spread oil on pan so entirely covered====Take a quarter of your pizza dough and form a ball
179		A16D2GVNFHEB9V		21		1		1		0,1		s2_c01_v02_e10		96.675		Spread oil on pan so entirely covered====Take a quarter of your pizza dough and form a ball
180		A2MV2H042RJ8TY		21		1		1		1,0		s2_c01_v02_e10		96.675		Spread oil on pan so entirely covered====Take a quarter of your pizza dough and form a ball
181		A1PYMROZ75S4FW		22		@		if you like you can add another turn of olive oil to the top		0,1		s2_c01_v02_e11		156.555		if you====If you
182		A1KB3HD0R4QRVZ		22		1		1		1,0		s2_c01_v02_e11		156.555		if you====If you
183		A2Y5A2VKUNMAR2		22		0		0		1,0		s2_c01_v02_e11		156.555		if you====If you
184		AWTJ1X4WZQ7H6		23		1		1		1,0		s2_c01_v02_e12		33.065		let====Gather ingredients
185		A2MV2H042RJ8TY		23		1		1		1,0		s2_c01_v02_e12		33.065		let====Gather ingredients
186		A2IKW7I8X54JRP		23		1		1		0,1		s2_c01_v02_e12		33.065		let====Gather ingredients
187		A111JI6APXR6QV		24		1		1		0,1		s2_c01_v02_e13		106.335		Flatten into a disk on your pan with your hands====Take 1/4 of pizza dough and flatten
