119		AWTJ1X4WZQ7H6		119		0		0		0,1		s2_c02_v01_e45		POur a whole box of elbow macaroni into boiling water====light and luscious 16 ounces 
120		AWG0O1Y2ZKL2E		120		2		2		0,1,2		s2_c02_v01_e46		about 3 to 4 minutes====Cook on medium for 3-4 minutes====cook on medium for 3 to 4 minutes
121		A3E3QXLHXAGY4Y		121		1		1		1,0		s2_c02_v01_e48		Add cayenne====add thyme cayenne and white pepper
122		A16D2GVNFHEB9V		122		1		1		1,0,2		s2_c02_v02_e01		Gather ingredients====7 Cheeses that will be used: muenster mild cheddar sharp cheddar monterey jack mozzarella provolone and velveeta====WASHING HANDS
123		A13OFTDF85YA1Q		123		0		0		0,2,1		s2_c02_v02_e06		but I don====Add the lobster====add in lobster & shrimp
124		AM0JKZVOEOTMA		124		@		Sautee is more		2,1,0		s2_c02_v02_e07		and this is the shrimp====Add sauteed not raw shrimp====sautee shrip before adding it in
125		A32ZOUVKLUA6O9		125		1		1		0,1		s2_c02_v02_e08		Periodically check macaroni & cheese====check mac and cheese
126		A100OV9D1OY7NI		126		0		0		0,1		s2_c02_v02_e09		Make sure it is browning====check it every 20 mins
127		A9QYAH5BONH1W		127		0		0		0,1		s2_c02_v02_e10		check every 20 minutes====Check dish every 20 minutes for browning
128		AVHG2CA7ORMX5		128		1		1		1,0		s2_c02_v02_e12		Mix it====Mix it with your hands
129		A3FPQGM967TJER		129		1		1		0,1		s2_c02_v02_e14		Put on latex gloves (optional)====Put on gloves if using hands
130		A16D2GVNFHEB9V		130		1		1		0,1		s2_c02_v02_e15		Start by removing any rings from your fingers====Take off the bling bling!
131		A13OFTDF85YA1Q		131		1		1		0,1		s2_c02_v02_e16		Place dish in oven====Place it in the oven
132		A37JK3E3WOIGG2		132		3		3		2,0,3,1,4		s2_c02_v02_e17		Add cayenne pepper if you would like====You can put cayenne pepper on top====Put cayenne pepper on top if you want====If you want to put cayenne pepper on top you can.====For hot and spicy add cayenne pepper on top
133		AR9ZC60MDS2Q		133		0		0		1,0		s2_c02_v02_e18		Put the Velveeta over the top of the mixture====when it bubbles the velveeta is pretty
134		A3RGYT0JTEHAOK		134		2		2		1,0,2		s2_c02_v02_e19		Add velveeta to the top and distribute evenly====you can use as much====Use as much cheese as you want
135		A2FVDNEMNOMHRW		135		1		1		1,0		s2_c02_v02_e20		steam your lobster ====steam lobster and dice
136		A16D2GVNFHEB9V		136		0		0		0,1,2		s2_c02_v02_e21		this is the butter====Drizzle one tablespoon of melted butter on the top====add in 1tsp butter
137		A3RGYT0JTEHAOK		137		1		1		2,1,0		s2_c02_v02_e22		this is the egg====Pour two eggs slightly beaten over the top making sure it====add in 2 large eggs beaten
138		A387OFOUJEG6FT		138		1		1		1,0		s2_c02_v02_e23		Add the cheeses to the macaroni====put chese in
139		AWTJ1X4WZQ7H6		139		0		0		3,2,0,4,1		s2_c02_v02_e24		Add one-quarter teaspoon of seasoned salt====this is the season salt====add 1.4 tsp season salt====Going to mix it up====Mix it up
140		A1USN4KHILLJFN		140		1		1		1,2,0		s2_c02_v02_e25		and it====Pour 2 cups half and half over the macaroni====This is half & half
141		A1BSOOHNHX51RI		141		2		2		2,1,0,3		s2_c02_v02_e26		at 325====Bake in an oven at 325 Farenheit for 45 minutes or until golden brown====Bake at 325 for 45 minutes====Put into the oven at 325 for about 45 minutes
142		A2FJ8YQ6VHGD2L		142		0		0		1,0		s2_c02_v02_e27		Or you can open the oven every now and then to see if it is brown.====Remove from oven when brown
143		AN4NEBI7QWSNO		143		2		2		0,1,2		s2_c02_v02_e29		Add macaroni to a baking dish====boil====Pour in macaroni
144		A3485IQYNO94GA		144		2		2		1,0,2		s2_c02_v02_e30		Mix everything together with your hands====Add paprika to top====Add paprika on top
145		A3LH9KGQ3VWY9S		145		0		0		0,1		s2_c02_v02_e31		Sprinkle one tablespoon of paprika over the top====Cheese will pull like pizza
146		AVHG2CA7ORMX5		146		2		2		3,2,1,0		s2_c02_v03_e08		added corn====after spoon====Place the liner into the crockpot====Place into crock pot
147		A2FJ8YQ6VHGD2L		147		0		0		2,1,0		s2_c02_v03_e09		Set the crockpot on low====Place in crockpot and set to low====Set to low
148		A3485IQYNO94GA		148		1		1		0,2,1		s2_c02_v03_e10		Let cook covered for two hours====Cook for 2 hours with lid on====Cook for 2 hours
149		AWTJ1X4WZQ7H6		149		1		1		2,0,1		s2_c02_v03_e11		so what we do is start with====make macron====uncoocked
150		A2O4KD35UJZ3SS		150		4		4		1,0,2,3,4		s2_c02_v03_e12		coco====this is uncooked====cooked macrone====Cook Macaroni====Use 1/2 tsp of salt in plenty of water
151		A264I2T7ZOSQGF		151		@		slow cooker mac n cheese		0,1		s2_c02_v03_e13		slow coco====coco manichees
152		AO9QKCP96EO06		152		@		Its nice and cheesy		1,0		s2_c02_v03_e17		it has that twist of sour cream and i think you====has twist of sour cream
153		A3E3QXLHXAGY4Y		153		0		0		0,1,2		s2_c02_v03_e18		Stir it and add one cup of milk after one hour of cooking time====Stir after 1 hour and add 1 C of milk====milk
154		A248D5XVN1YGCZ		154		2		2		1,3,0,2		s2_c02_v03_e21		more delicious====You can also put the macaroni and cheese in a buttered pan and bake until golden brown====put it in a buttered pan====also if you prefer you an put it in a buttered pan
155		AN4NEBI7QWSNO		155		1		1		0,1		s2_c02_v03_e22		make it in the oven====and that will give you a nice crispy top
156		A1YAJVJTL94WGT		156		2		2		0,1,2		s2_c02_v03_e23		Add 1 can Cheddar Cheese Soup====Add one can of cheddar cheese soup====10 3/4 oz can of cheddar cheese soup
157		A3RGYT0JTEHAOK		157		1		1		0,3,1,2,4		s2_c02_v03_e24		Do Not Add Water!====Do not add water====macroni====ADD CHEESE====cheddar cheese
158		A224247QAJ1WKY		158		4		4		1,0,4,2,3		s2_c02_v03_e27		macronee====you want to mix them up then====Add 1 1/2 cup Sharp Cheddar Cheese====Add 1 1/2 c of shredded sharp cheddar====Add one and a half cups of finely shredded cheddar
159		A16D2GVNFHEB9V		159		1		1		1,0		s2_c02_v03_e28		cheese====Add eight ounces of sour cream
160		A1XUIEY8Y9BH0J		160		2		2		1,0,2		s2_c02_v03_e29		curd====8 oz sour cream====Add 8 Ounces of Sour Cream
161		A2FJ8YQ6VHGD2L		161		2		2		0,1,2		s2_c02_v03_e30		you can just go ahead====Pour macaroni in your crockpot====Put macaroni in crockpot
162		A2EEUQ0YY2XIU		162		0		0		0,1		s2_c02_v03_e31		and then we====Stir
163		A16D2GVNFHEB9V		163		1		1		1,0		s2_c02_v03_e33		Taste to feel if it====you want it chewy
164		A3T68OBEBCKJF7		164		1		1		0,1		s2_c02_v04_e03		im gonna cook this====1 cup milk
165		A3AJR1PM02424Y		165		2		2		1,2,0		s2_c02_v04_e04		and then I====1 cup milk and stir====add 1 cup of milk and stir completely
166		A9K49S97N9S9Y		166		1		1		0,1		s2_c02_v04_e05		Pour into baking dish====pour it in sprayed pan and put it in the oven
167		A2BZJJP6YKOI7X		167		1		1		0,1		s2_c02_v04_e06		oven set at 350 degrees====Into the oven at 350 for 40-45 minutes
168		A3RGYT0JTEHAOK		168		0		0		1,0		s2_c02_v04_e08		Rotate the pan in the oven ====rotate the pan
169		AD0VGZMUTW2W1		169		0		0		1,0		s2_c02_v04_e09		Bake 5 more minutes====5 more minutes
